"LOB","EDW_MEMBER_CK","MEMBER_MEDICAID_ID","MEMBER_KEY","MEMBER_NAME","MEMBER_SEX","MEMBER_DOB","MEMBER_ADDRESS_1","MEMBER_ADDRESS_2","MEMBER_CITY","MEMBER_STATE","MEMBER_ZIP","MEMBER_COUNTY","MEMBER_REGION","MEMBER_PRIMARY_PHONE","MEMBER_HOME_PHONE","MEMBER_CELL_PHONE","MEMBER_LANGUAGE","MEMBER_ELIG_START_DT","MEMBER_ELIG_END_DT","MEMBER_ACTIVE_IND","PCP_IRS_NBR","PCP_IRS_NAME","PCP_NPI","PCP_PROV_KEY","PCP_FIRST_NAME","PCP_LAST_NAME","PCP_ADDRESS1","PCP_ADDRESS2","PCP_CITY","PCP_STATE","PCP_ZIP","PCP_PHONE","PCP_FAX"
"MEDICAID","3556171","121245035889","GA86570177591","DANIELLE JOHNSON","F","1994-10-18","6200 MILL BLVD","","LAKE KEVINSIDE","GA","30120","CARROLL","ATLANTA","6792817908","","","English","2024-08-01","9999-12-31","Y","635300635","BREMEN MEDICAL ASSOCIATES","3419768939","GAP79309773981-0161","LINDSAY","WASHINGTON","9254 WASHINGTON DR","Apt 344","CROSSPORT","GA","30117","8822817541","5704003076"
"MEDICAID","9905998","753977159358","GA87081822948","JOSHUA J WALKER","F","1989-04-07","1810 CEDAR AVE","","EAST PEGGY","GA","30184","CARROLL","ATLANTA","6825216381","","","English","2025-10-04","9999-12-31","Y","531749043","MARIETTA SURGICAL SPECIALISTS","8222164166","GA480073-5649","RYAN","GUZMAN","854 MAIN BLVD","","NEW BARBARASIDE","GA","30110","2255141634","7772519908"
"MEDICAID","9699479","835741365811","GA36496366606","JILL E RHODES","F","2003-05-16","5510 PEACHTREE WAY","","DENISEBURY","GA","30122","CARROLL","ATLANTA","9986622937","","","English","2025-06-05","9999-12-31","Y","501272947","BOWDON HEALTH PARTNERS","3010780209","GA568887-8580","HEATHER","ALLEN","3339 PINE PL","","MELISSAVILLE","GA","30108","3277753685","9027837242"
"MEDICAID","2806117","964381407562","GA91339199393","PATRICIA MILLER","F","1992-08-22","4142 VALLEY PKWY","","WEST ANGELA","GA","30161","CARROLL","ATLANTA","3352306009","","","English","2026-02-05","9999-12-31","Y","570843777","BREMEN CARE CLINIC","7482434178","GAP80490732022-9989","RICHARD","REESE","5289 PINE AVE","","LAKE DAWN","GA","30067","9846286511","5938161509"
"MEDICAID","6767059","355150561176","GA47903718902","ROBERT JOHNSON","F","1983-05-08","5838 PINE LN","","JOSEPHVILLE","GA","30186","CARROLL","ATLANTA","5424701391","","","English","2025-11-01","9999-12-31","Y","435496197","ATLANTA HEALTH PARTNERS","6608675203","GAP18408705522-0937","BRIAN","WASHINGTON","2318 HIGHLAND ST","Ste 118","KELLYMOUTH","GA","30180","2532374775","9899863029"
"MEDICAID","8911913","943464381759","GA64411412706","JEFFERY WAGNER","F","1991-04-24","4208 RIDGE BLVD","","HARDYMOUTH","GA","30182","CARROLL","ATLANTA","3677515551","","","English","2021-03-01","9999-12-31","Y","545417697","BOWDON FAMILY MEDICINE","9411821996","GA282773-3096","CHERYL","HESS","669 FOREST BLVD","","JOHNBURGH","GA","30180","8397762079",""
"MEDICAID","2860592","875371636748","GA44507030505","ANTHONY P GONZALEZ","F","2002-03-14","282 FOREST HWY","","ROBINSONFURT","GA","30137","CARROLL","ATLANTA","5054089656","","","English","2024-01-01","9999-12-31","Y","417845060","CARROLLTON FAMILY HEALTHCARE CENTER","3332303986","GAP43193042664-8190","BRIANNA","BREWER","2138 HIGHLAND AVE","Unit 435","JIMENEZBOROUGH","GA","30180","5705889953","3655362166"
"MEDICAID","3126038","513207232823","GA55940838177","DEBRA C GARDNER","F","2004-09-26","4529 RIVER HWY","","JOHNTOWN","GA","30192","PAULDING","ATLANTA","3415868321","","","English","2025-01-01","9999-12-31","Y","754779968","ROME FAMILY HEALTHCARE CENTER","2489525197","GAP27915394734-1274","CAROLYN","SKINNER","7918 RIVER PKWY","Apt 103","CASTANEDASHIRE","GA","30141","4035164370","6472106325"
"MEDICAID","6376130","436477432423","GA58031115648","JEFFREY T LAWRENCE","F","1998-04-03","1441 PIEDMONT AVE","","JOSEVIEW","GA","30188","HARALSON","ATLANTA","6137855568","","","English","2025-06-01","9999-12-31","Y","531749043","MARIETTA MEDICAL GROUP OF","8222164166","GA480073-5649","PATRICIA","HARDY","8651 FOREST ST","","MONICABERG","GA","30110","4856612645","5668525377"
"MEDICAID","9980807","198707943089","GA32045930799","LISA SMITH","F","2003-10-01","1657 DOGWOOD PKWY","","CARRVILLE","GA","30175","CARROLL","ATLANTA","3234417367","","","English","2026-02-12","2026-08-31","Y","501272947","CARROLLTON MEDICAL CENTER","8563720507","GA805558-0069","FRANK","LEE","355 FOREST RD","","NORTH WESLEY","GA","30108","8793214404","5796745434"
"MEDICAID","4019164","965320749923","GA80747690016","LINDA WOLFE","F","2001-11-22","8079 PIEDMONT DR","","SOUTH CASSANDRA","GA","30150","CARROLL","ATLANTA","5966985416","","","English","2025-11-07","2026-09-30","Y","267643495","ATLANTA PRIMARY CARE ASSOCIATES","1245218495","GAP44153464550-3295","MARY","MEZA","9700 DOGWOOD PL","","RODRIGUEZCHESTER","GA","30268","5228682776",""
"MEDICAID","8021372","966971309778","GA20858480316","MATTHEW MOORE","F","1994-02-07","8958 MILL AVE","","SMITHSHIRE","GA","30154","CARROLL","ATLANTA","9847599534","","","English","2025-08-21","9999-12-31","Y","405051659","TEMPLE MEDICAL ASSOCIATES","8048854879","GAP80094007706-2544","DAVID","THOMPSON","8254 AZALEA BLVD","Apt 271","HALLPORT","GA","30087","3988046786","6075276548"
"MEDICAID","9566745","888777945284","GA30194334305","SUSAN ROGERS","F","1979-01-26","8704 CEDAR CT","","SOUTH CHAD","GA","30144","CARROLL","ATLANTA","6367187403","","","English","2024-06-01","9999-12-31","Y","691427384","VILLA RICA MEDICAL ASSOCIATES","7228223328","GA609687-2335","BARBARA","WILLIAMS","4107 BROOK PKWY","Apt 360","PORT WILLIAM","GA","30110","9208213411","9497469805"
"MEDICAID","7378072","467400363392","GA17167036837","CHRISTOPHER DAVIS","F","2001-03-01","4081 MAIN HWY","","WEST JOHNMOUTH","GA","30190","CARROLL","ATLANTA","8162089509","","","English","2025-11-01","9999-12-31","Y","193711733","BOWDON CARE CLINIC","8761480748","GA171922-9903","DEBORAH","ROMERO","7117 VALLEY ST","","NEW CHRISTOPHERMOUTH","GA","31023","7049665256","5936648597"
"MEDICAID","6320892","702499903340","GA24614251740","MELANIE MUNOZ","F","1991-06-25","7030 LINCOLN RD","","HIGGINSBOROUGH","GA","30184","CARROLL","ATLANTA","9846909490","","8506845422","English","2025-04-01","9999-12-31","Y","352577380","MARIETTA FAMILY HEALTHCARE CENTER","1450934426","GA725578-9811","JASON","THOMAS","2779 RIDGE ST","Ste 22","JESSICAFURT","TX","78753","5927612596","7206756850"
"MEDICAID","9002271","552046432905","GA78585947646","LINDSAY A BLAIR","F","1994-07-19","3693 SUNSET HWY","","ZIMMERMANMOUTH","GA","30116","CARROLL","ATLANTA","6344372289","","","English","2024-10-07","9999-12-31","Y","635300635","MARIETTA WELLNESS GROUP","3419768939","GAP79309773981-0161","SHANE","SUAREZ","2866 BROOK WAY","Unit 499","WEST CATHERINE","GA","30117","6323551072","7843975394"
"MEDICAID","7279952","404027829092","GA36672381425","AMANDA DUDLEY","F","2003-09-28","9614 RIVER PL","","NEW STEPHANIE","GA","30179","CARROLL","ATLANTA","5043259834","","","English","2026-01-01","9999-12-31","Y","435496197","BOWDON WELLNESS GROUP","3702389035","GA350742-1559","MICHELLE","TORRES","9599 MAGNOLIA TER","Ste 341","BRYANTSTAD","GA","30180","3586449501","8008833913"
"MEDICAID","1973546","322162760481","GA25041813165","NICHOLAS P ARNOLD","F","2001-02-11","8237 PINE PKWY","","EAST EDWARD","GA","30138","CARROLL","ATLANTA","9094456301","","","English","2024-02-01","9999-12-31","Y","435496197","TEMPLE PRIMARY CARE ASSOCIATES","8392079077","GA636870-8621","TYLER","STONE","9526 MAIN RD","Apt 40","ELIZABETHVILLE","GA","30117","7159234535","2458298494"
"MEDICAID","1869050","273494917325","GA76120083746","MARIA MONTGOMERY","F","1988-03-22","1062 CHURCH PL","","EAST LAURAFURT","GA","30166","CARROLL","ATLANTA","7982395674","","","English","2023-03-08","9999-12-31","Y","691427384","BOWDON FAMILY HEALTHCARE CENTER","7228223328","GA177359-1469","SARAH","HOPKINS","5166 OAK HWY","Unit 358","LAKE SARAHVIEW","GA","30110","6542956738","7263465303"
"MEDICAID","2574934","491278548353","GA11514779457","MICHELLE L RAY","F","1997-12-24","4543 RIDGE WAY","","NEW JACOBTON","GA","30125","HARALSON","ATLANTA","8242545611","","","Unknown","2026-02-27","9999-12-31","Y","691427384","BREMEN MEDICAL CENTER","7228223328","GA609687-2335","ALEXIS","MORAN","9143 PINE ST","Unit 222","PORT ROYVIEW","GA","30110","6932945390","8389291947"
"MEDICAID","3861888","298883850421","GA76281264632","JANET N WILLIAMS","F","1998-11-17","8796 MAIN WAY","","WEST KATHLEENFORT","GA","30105","PAULDING","ATLANTA","4984668642","","","English","2025-12-25","9999-12-31","Y","570843777","VILLA RICA SURGICAL SPECIALISTS","7482434178","GAP80490732022-9989","LAURA","HENSLEY","2784 PIEDMONT WAY","","SANDERSVILLE","GA","30067","2216143774","5109124100"
