SBSCR_NBR,SOURCE_PATIENT_ID,EMPI,MBR_LST_NM,MBR_MIDL_INIT,MBR_FST_NM,MBR_GDR_CD,BTH_DT,CONTR_CURR_PLN_NM,CONTR_NBR,CONTR_PBP,CONTR_NBR_PBP,CURR_MBI,DTH_DT,RECORD_START_DT,RECORD_END_DT,MBR_ADR_LOC_ADR1,MBR_ADR_LOC_ADR2,MBR_ADR_LOC_CTY,MBR_ADR_LOC_ST_CD,MBR_ADR_LOC_ZIP_CD,SBSCR_CNTY_NM,MBR_DO_NOT_CNTC_FLG,ASSIGNED_PROVIDER_NPI,ASSIGNED_TIN
527653712,10727-9FG7QC1VQ61T,1024064402,ORLANDO,,DANIELLE,female,1924-12-17,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,2JC4KG7GK68,,01/01/2023,12/31/2023,461 BROADWAY AVE,,HANNAHMOUTH,NY,11522,,N,9753960353,183493796
527653712,10727-9FG7QC1VQ61T,1024064402,ORLANDO,,ANGEL,female,1924-05-04,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2JC4KG7GK68,,01/01/2024,08/31/2024,8907 PELHAM PL,,LAKE BRITTANY,NY,11579,,N,9753960353,183493796
753927766,50651-8U62XJ7DF61T,1024064033,PEREZ,D,JOSHUA,female,1935-10-14,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,3Y26GN3VV67,,01/01/2023,12/31/2023,7280 CEDAR ST,STE 17A,EAST JANET,NY,11233,,N,9753960353,183493796
753927766,50651-8U62XJ7DF61T,1024064033,PEREZ,A,JEFFREY,female,1935-03-08,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3Y26GN3VV67,,01/01/2024,12/31/2024,6705 VALLEY WAY,STE 9D,NORTH ANNASHIRE,NY,11209,,N,9753960353,183493796
753927766,50651-8U62XJ7DF61T,1024064033,PEREZ,J,JILL,female,1935-11-25,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3Y26GN3VV67,,01/01/2025,12/31/2025,5898 PELHAM CT,APT 15F,PIERCESTAD,NY,11206,,N,9753960353,183493796
753927766,50651-8U62XJ7DF61T,1024064033,PEREZ,H,ERICA,female,1935-04-06,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3Y26GN3VV67,,01/01/2026,12/31/2099,8132 FOREST CT,UNIT 4F,ARTHURBERG,NY,11224,,N,9753960353,183493796
313916522,46877-3D88NQ7QB17T,1024064110,DIGIACOMO,,PATRICIA,female,1966-07-01,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7H95NU8JC79,,01/01/2024,12/31/2024,7622 MILL PL,,DAWNVIEW,NY,11543,,N,6430864384,641762827
313916522,46877-3D88NQ7QB17T,1024064110,DIGIACOMO,,CHRISTOPHER,female,1966-12-21,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7H95NU8JC79,,01/01/2025,07/31/2025,7726 ELM DR,,LAKE NICOLETOWN,NY,11508,,N,6430864384,641762827
313916522,46877-3D88NQ7QB17T,1024064110,DIGIACOMO,,ROBERT,female,1966-06-24,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7H95NU8JC79,,10/01/2023,12/31/2023,163 CHURCH RD,,RANDYBOROUGH,NY,11565,,N,6430864384,641762827
877413260,61149-7N52S12DQ92T,1024064480,OAKLEY,,ANTHONY,female,1958-09-13,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,2R27J26VK79,,01/01/2023,12/31/2023,8236 WASHINGTON TER,,NEW ALEX,NY,10393,,N,3689499866,666580828
877413260,61149-7N52S12DQ92T,1024064480,OAKLEY,,JEFFERY,female,1958-12-20,UHC Dual Complete NY-S001 (PPO D-SNP),H8681,063,H2272-523,2R27J26VK79,,01/01/2025,09/30/2025,8134 CEDAR ST,,STACEYSHIRE,NY,10341,,N,3689499866,666580828
877413260,61149-7N52S12DQ92T,1024064480,OAKLEY,,WILLIAM,female,1958-05-06,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2R27J26VK79,,01/01/2026,12/31/2099,646 FOREST WAY,,WEST VICTORBURGH,NY,10343,,N,3689499866,666580828
877413260,61149-7N52S12DQ92T,1024064480,OAKLEY,,ANTHONY,female,1958-08-14,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2R27J26VK79,,03/01/2024,07/31/2024,3486 CEDAR TER,,PECKTOWN,NY,10345,,N,3689499866,666580828
877413260,61149-7N52S12DQ92T,1024064480,OAKLEY,,JAMES,female,1958-08-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2R27J26VK79,,10/01/2025,12/31/2025,5483 HILL PL,,WARNERCHESTER,NY,10389,,N,3689499866,666580828
321301254,48789-0T09UN1DS03T,1024065007,PANTALEON,H,DEBRA,male,1942-09-07,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7X06PR0VJ46,,01/01/2023,11/30/2023,9231 MILL WAY,,EAST CARRIE,NY,10037,,N,7012408416,568386547
321301254,48789-0T09UN1DS03T,1024065007,PANTALEON,E,AMY,male,1942-02-28,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7X06PR0VJ46,,01/01/2024,12/31/2024,5797 BROOK RD,,PORT KATRINA,NY,10079,,N,7012408416,568386547
