AMISYS NUMBER,MEDICAID NUMBER,FIRST NAME,MIDDLE NAME,LAST NAME,MEMBER DOB,GENDER,MEMBER PHONE NUMBER,MEMBER ADDRESS LINE 1,MEMBER ADDRESS LINE 2,MEMBER CITY,MEMBER STATE,MEMBER ZIP,MPK NAME,ASSIGNED TIN NAME,ASSIGNED TIN,PCP FIRST NAME,PCP MIDDLE NAME,PCP LAST NAME,PCP NPI,PCP SPECIALTY,MEMBER MONTHS,LINE OF BUSINESS,PRODUCT,POPULATION HEALTH CATEGORY,PRIMARY RISK CATEGORY,RISK SCORE,TOTAL PCP CLAIMS,ALL ADMITS,ACUTE ADMITS,OP CLAIMS,ED VISITS,ED TO IP VISITS,SNF ADMITS,INNTWRK SPEC CLAIMS,OUTNTWRK SPEC CLAIMS,TOTAL BRAND RX COUNT,GENERIC RX COUNT,OTH CLAIMS,PREVENTABLE ADMITS,PREVENTABLE ED VISITS,MEMBER ELIG START MONTH,MEMBER MEDICAID START MONTH,MEMBER TYPE,EMAIL_ADDRESS
42735931796,530711077,DANIELLE,,SCOTT,2012-01-24,F,693-479-3991,4879 PARK CT,,PORT GARYBERG,IL,61885,JOLIET HEALTHCARE GROUP,WAUKEGAN INTEGRATED CARE,795664483,JULIE,,WEST,7589981195,CLINIC,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-AT RISK,INFECTIOUSDISEASE,0.45349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202510,202510,,
22179867380,408593733,ANGEL,,LEE,2004-05-08,F,411-839-4443,828 MILL AVE,,NORTH JOSEPHBURGH,IL,60660,CHICAGO PRIMARY CARE ASSOCIATES,CHICAGO WELLNESS GROUP,285045219,DEBRA,,WAGNER,4514397582,CLINIC,2,MEDICAID,MEDICAID EXPANSION,OTHER MINOR CHRONIC-STABLE,INFECTIOUSDISEASE,0.66831,0,0,0,1,0,0,0,0,0,1,2,0,0,0,202509,202509,,sthomas@example.net
U9034416056,617236981,JOSHUA,,TORRES,2016-04-05,M,525-915-5341,8099 LAKE LN,,NEW TINASIDE,IL,61116,PEORIA HEALTHCARE GROUP,AURORA HEALTH SERVICES,507138208,MATTHEW,,MCGRATH,5072053197,CLINIC,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-STABLE,DEMOGRAPHICS,0.47265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202506,202506,,ralphclark@example.com
U4435641508,888279635,JEFFREY,,SOTO,2004-12-04,M,,3573 RIVER DR,,NEW KATHLEEN,IL,61687,JOLIET COMMUNITY HEALTH CENTER,AURORA MEDICAL CENTER,369979721,KAREN,,GONZALEZ,1436168221,CLINIC,2,MEDICAID,MEDICAID EXPANSION,OTHER MINOR CHRONIC-STABLE,MOOD DISORDER/DEPRESSION,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202511,202511,,
U5147626183,612001551,JILL,,COOPER,2002-11-24,M,422-970-4755,3606 LAKE RD,,EAST KELLYFURT,IL,62857,AURORA HEALTH PARTNERS,SPRINGFIELD INTEGRATED CARE,765625422,MELANIE,,DOYLE,2553623768,CLINIC,2,MEDICAID,MEDICAID EXPANSION,HEALTHY,DEMOGRAPHICS,0.12955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202508,202508,,
U1219052240,783707309,ERICA,,TORRES,2006-09-03,F,854-667-4170,7781 HALSTED TER,,JORDANMOUTH,IL,62875,CICERO MEDICAL GROUP,SPRINGFIELD HEALTHCARE GROUP,765625422,TAMI,,BOWMAN,2928517657,FAMILY PRACTICE,2,MEDICAID,SSI KIDS,OTHER MAJOR CHRONIC-AT RISK,PAIN,0.3791,0,0,0,0,0,0,0,1,0,0,0,0,0,0,202312,202312,,
U6193914542,787298153,PATRICIA,,MOSLEY,2009-10-14,M,948-336-8216,9477 CLARK RD,,NORTH JAMES,IL,62982,NAPERVILLE HEALTHCARE GROUP,JOLIET MEDICAL GROUP,765625422,ROBERT,,JOHNSTON,2283980133,CLINIC,2,MEDICAID,MEDICAID,BEHAVIORAL HEALTH ONLY-STABLE,GASTROINTESTINAL,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,202510,202510,,
U9330711287,501882542,CHRISTOPHER,,STONE,2001-01-01,F,732-421-7852,5217 PARK DR,,SOUTH GAVINVIEW,IL,62877,SPRINGFIELD MEDICAL CENTER,JOLIET FAMILY HEALTHCARE CENTER,765625422,SARA,P,BRIGGS,1858621962,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID EXPANSION,CHRONIC BIG 5-AT RISK,OTHER MEDICAL,0.74629,2,0,0,0,0,0,0,0,0,1,2,0,0,0,202502,202502,,ashleylarson@example.net
U1281841116,911198538,ROBERT,,MARTIN,2003-02-07,F,988-964-4065,436 RIDGE LN,,NEW CHELSEAFORT,IL,62832,CHICAGO FAMILY MEDICINE,ROCKFORD PHYSICIANS GROUP,765625422,KATHRYN,,OBRIEN,8028661583,CLINIC,2,MEDICAID,SSI NON - DUAL,OTHER MAJOR CHRONIC-AT RISK,PSYCHOTIC & SCHIZOPHRENIC DISO,1.01393,0,0,0,1,0,0,0,0,0,0,11,0,0,0,202502,202502,,
U5017917852,677909798,ANTHONY,,VILLEGAS,2004-04-17,M,281-552-2961,2349 MICHIGAN CT,,CHRISTOPHERFORT,IL,62828,AURORA CARE CLINIC,PEORIA HEALTHCARE GROUP,765625422,SERGIO,H,RUSSELL,9948351258,FAMILY PRACTICE,2,MEDICAID,MEDICAID EXPANSION,BEHAVIORAL HEALTH ONLY-STABLE,IRRITABLE BOWEL SYNDROME,0.12955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202408,202408,,
